City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Swidnik,PL,2021-02-06 01:05:10,51.219,22.6962,21.2,79,100,4.18
68,Georgetown,MY,2021-02-06 00:56:09,5.4112,100.3354,81.0,83,20,6.02
69,Mataura,NZ,2021-02-06 00:59:14,-46.1927,168.8643,75.88,48,38,3.47
70,Yulara,AU,2021-02-06 00:59:31,-25.2406,130.9889,75.2,27,0,16.11
71,Arraial Do Cabo,BR,2021-02-06 00:57:35,-22.9661,-42.0278,75.54,94,100,9.42
72,Hilo,US,2021-02-06 00:56:22,19.7297,-155.09,78.8,57,75,11.5
73,Hamilton,US,2021-02-06 00:59:17,39.1834,-84.5333,35.6,51,40,8.05
74,Port Alfred,ZA,2021-02-06 00:59:19,-33.5906,26.891,69.01,93,97,13.89
75,Lexington Park,US,2021-02-06 01:05:11,38.2668,-76.4538,46.4,71,1,6.91
76,Pevek,RU,2021-02-06 00:57:20,69.7008,170.3133,-14.49,85,100,1.63
77,Havelock,US,2021-02-06 01:03:14,34.8791,-76.9013,53.6,100,40,10.36
78,Bluff,NZ,2021-02-06 00:59:21,-46.6,168.3333,60.62,75,89,1.92
79,Faanui,PF,2021-02-06 00:59:44,-16.4833,-151.75,81.64,64,3,4.07
80,East London,ZA,2021-02-06 00:59:28,-33.0153,27.9116,73.63,89,97,10.13
81,Aklavik,CA,2021-02-06 00:56:13,68.2191,-135.0107,-32.8,68,20,4.61
82,Rio Claro,BR,2021-02-06 01:00:45,-22.4114,-47.5614,69.8,100,40,2.3
83,Honavar,IN,2021-02-06 01:01:21,14.2833,74.45,69.6,62,0,4.54
84,Ust-Koksa,RU,2021-02-06 01:05:12,50.2696,85.6108,22.06,93,100,1.41
85,Provideniya,RU,2021-02-06 00:59:31,64.3833,-173.3,8.92,92,100,11.1
86,Tasiilaq,GL,2021-02-06 00:59:30,65.6145,-37.6368,28.4,59,75,5.75
87,Emba,KZ,2021-02-06 01:05:12,48.8264,58.1442,33.55,93,100,11.01
88,Biak,ID,2021-02-06 00:59:46,-0.9131,122.8766,80.01,72,100,2.57
89,Mar Del Plata,AR,2021-02-06 00:54:32,-38.0023,-57.5575,69.8,46,0,5.75
90,Vredendal,ZA,2021-02-06 01:05:12,-31.6683,18.5012,60.28,90,0,2.62
91,Puerto Ayora,EC,2021-02-06 00:57:13,-0.7393,-90.3518,77.0,93,77,7.0
92,Flinders,AU,2021-02-06 00:57:22,-34.5833,150.8552,70.0,92,100,14.0
93,Yerbogachen,RU,2021-02-06 00:59:29,61.2767,108.0108,-8.07,91,96,3.06
94,Aykhal,RU,2021-02-06 01:05:13,66.0,111.5,-34.71,81,23,3.89
95,Vostok,RU,2021-02-06 00:56:43,46.4856,135.8833,6.31,93,100,3.42
96,Lebu,CL,2021-02-06 00:59:49,-37.6167,-73.65,57.87,92,11,3.69
97,Egvekinot,RU,2021-02-06 01:05:13,66.3167,-179.1667,-9.45,93,100,15.68
98,Tilichiki,RU,2021-02-06 01:05:13,60.4667,166.1,6.8,96,100,8.23
99,Ambatofinandrahana,MG,2021-02-06 01:05:13,-20.55,46.8,62.53,92,100,1.3
100,Bubaque,GW,2021-02-06 00:57:57,11.2833,-15.8333,78.21,62,100,16.53
101,Murgab,TM,2021-02-06 01:05:14,37.4966,61.9714,46.4,42,37,9.22
102,General Roca,AR,2021-02-06 01:05:14,-39.0333,-67.5833,84.2,34,0,3.44
103,Zverinogolovskoye,RU,2021-02-06 01:05:14,54.4586,64.8542,34.77,98,100,14.18
104,Souillac,MU,2021-02-06 00:56:51,-20.5167,57.5167,77.0,88,75,6.91
105,Inhambane,MZ,2021-02-06 00:57:37,-23.865,35.3833,77.9,87,90,6.71
106,Mahebourg,MU,2021-02-06 00:56:10,-20.4081,57.7,77.0,88,75,6.91
107,Half Moon Bay,US,2021-02-06 00:59:56,37.4636,-122.4286,60.01,82,1,12.66
108,Dunedin,NZ,2021-02-06 00:59:02,-45.8742,170.5036,61.0,71,32,25.99
109,Chokurdakh,RU,2021-02-06 00:57:34,70.6333,147.9167,-19.62,86,0,11.65
110,Thompson,CA,2021-02-06 00:58:19,55.7435,-97.8558,-20.2,69,75,13.8
111,Waipawa,NZ,2021-02-06 01:05:14,-41.4122,175.5153,63.0,77,90,16.11
112,Jiran,IN,2021-02-06 01:05:15,24.3167,74.8833,51.35,47,0,8.84
113,Port Elizabeth,ZA,2021-02-06 00:59:26,-33.918,25.5701,71.6,88,90,6.91
114,Gladstone,AU,2021-02-06 00:59:48,-23.85,151.25,84.2,54,40,8.05
115,Chimbote,PE,2021-02-06 01:05:15,-9.0853,-78.5783,69.84,77,1,5.82
116,Kamenka,RU,2021-02-06 01:05:15,51.3223,42.7678,15.01,84,100,15.01
117,Karratha,AU,2021-02-06 01:00:20,-20.7377,116.8463,82.58,67,23,11.1
118,Avarua,CK,2021-02-06 00:59:15,-21.2078,-159.775,86.0,70,20,12.66
119,Nouadhibou,MR,2021-02-06 00:59:39,20.931,-17.0347,62.6,77,40,6.91
120,Victoria,HK,2021-02-06 00:58:27,22.2855,114.1577,66.0,82,0,5.59
121,Bathsheba,BB,2021-02-06 01:00:24,13.2167,-59.5167,78.8,57,20,18.41
122,De-Kastri,RU,2021-02-06 01:05:16,51.4667,140.7833,-3.23,86,98,7.63
123,Machilipatnam,IN,2021-02-06 01:05:16,16.1667,81.1333,68.0,94,0,6.22
124,Hofn,IS,2021-02-06 01:05:16,64.2539,-15.2082,37.42,78,100,16.26
125,Ati,TD,2021-02-06 01:02:09,13.2154,18.3353,66.92,25,0,15.75
126,Ripoll,ES,2021-02-06 01:05:16,42.2006,2.1903,46.99,62,100,1.99
127,Mindelo,CV,2021-02-06 00:59:57,16.8901,-24.9804,66.2,77,40,20.71
128,Faya,SA,2021-02-06 00:57:12,18.3851,42.4509,53.6,50,0,10.36
129,New Norfolk,AU,2021-02-06 00:57:01,-42.7826,147.0587,75.99,78,0,1.99
130,Daru,PG,2021-02-06 01:05:17,-9.0763,143.2092,88.18,62,16,13.62
131,Neumunster,DE,2021-02-06 01:05:17,54.0667,9.9833,30.99,75,94,13.0
132,Abu Samrah,SY,2021-02-06 01:00:17,35.3029,37.1841,47.75,88,0,4.45
133,Tautira,PF,2021-02-06 00:58:48,-17.7333,-149.15,84.2,65,75,8.05
